Symbol,Days,Start_Date,End_Date,Features,Samples
AAPL,3472,2010-03-17,2023-12-29,"(3452, 20, 30)",3452
AMD,3472,2010-03-17,2023-12-29,"(3452, 20, 30)",3452
AMZN,3472,2010-03-17,2023-12-29,"(3452, 20, 30)",3452
CSCO,3472,2010-03-17,2023-12-29,"(3452, 20, 30)",3452
GOOGL,3472,2010-03-17,2023-12-29,"(3452, 20, 30)",3452
INTC,3472,2010-03-17,2023-12-29,"(3452, 20, 30)",3452
META,2873,2012-07-31,2023-12-29,"(2853, 20, 30)",2853
MSFT,3472,2010-03-17,2023-12-29,"(3452, 20, 30)",3452
NVDA,3472,2010-03-17,2023-12-29,"(3452, 20, 30)",3452
TSLA,3350,2010-09-09,2023-12-29,"(3330, 20, 30)",3330
